order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,high_value,order_month,is_weekend
101,Alice,Laptop,1.0,900.0,2024-05-09,Central,,False,May,False
102,Unknown,Laptop,1.0,300.0,2024-05-07,Central,300.0,False,May,False
103,Unknown,Laptop,1.0,600.0,2024-05-04,Central,600.0,False,May,True
104,Unknown,Tablet,1.0,300.0,2024-05-26,Central,,False,May,True
105,Heidi,Tablet,2.0,600.0,2024-05-21,North,1200.0,True,May,False
106,Unknown,Laptop,2.0,600.0,2024-05-18,Central,1200.0,True,May,True
107,Unknown,Tablet,1.0,600.0,2024-05-13,Central,600.0,False,May,False
108,Unknown,Laptop,1.0,600.0,2024-05-11,Unspecified,,False,May,True
109,Grace,Laptop,2.0,600.0,2024-05-29,Central,1200.0,True,May,False
110,Heidi,Phone,1.0,900.0,2024-05-24,Unspecified,,False,May,False
